,Reference Genom,Node Name,prediction method,mse,rmse
4,archea1.4g_8nodes,247,Univariatn Spline smoothing approximation 2 with degree  2 ,0.6665769771469501,0.8164416556906868
5,archea1.4g_8nodes,247,Univariatn Spline smoothing approximation 2 with degree  3 ,0.6665850350984692,0.8164465904751328
0,archea1.4g_8nodes,247,Generell Spline approximation smoothing s1 with degree  1 ,0.6667178971884522,0.8165279524844524
1,archea1.4g_8nodes,247,Generell Spline approximation smoothing s1 with degree  2 ,0.6665769771469501,0.8164416556906868
2,archea1.4g_8nodes,247,Generell Spline approximation smoothing s1 with degree  3 ,0.6664567823115699,0.8163680434164299
3,archea1.4g_8nodes,247,Generell Spline approximation smoothing s2 with degree  1 ,276.28705332511385,16.621884770540127
4,archea1.4g_8nodes,247,Generell Spline approximation smoothing s2 with degree  2 ,265.70312286541173,16.300402536913367
5,archea1.4g_8nodes,247,Generell Spline approximation smoothing s2 with degree  3 ,201.4830860713177,14.194473786347901
0,archea1.4g_8nodes,248,Polynominal  1,1482.0634864045333,38.497577669309706
1,archea1.4g_8nodes,248,Polynominal  2,1156.096701118212,34.00142204552939
2,archea1.4g_8nodes,248,Polynominal  3,973.0557708700877,31.193841874159837
3,archea1.4g_8nodes,248,Polynominal_curve  1,1482.0634864045333,38.497577669309706
4,archea1.4g_8nodes,248,Polynominal_curve  2,1156.096701118212,34.00142204552939
5,archea1.4g_8nodes,248,Polynominal_curve  3,973.0557708700877,31.193841874159837
0,archea1.4g_8nodes,248,Log_Polynominal  1,1.508456800255732,1.898683548393678
1,archea1.4g_8nodes,248,Log_Polynominal  2,1.405936079465872,1.7926553889454937
2,archea1.4g_8nodes,248,Log_Polynominal  3,1.3010596338742004,1.6703109071203757
3,archea1.4g_8nodes,248,Log_curve  1,inf,4.1602345381809786e+55
4,archea1.4g_8nodes,248,Log_curve  2,inf,2.6008990259470615e+46
5,archea1.4g_8nodes,248,Log_curve  3,inf,1.8696201914095082e+53
0,archea1.4g_8nodes,248,Smoothing Spline,421.51116777095143,20.530737146311903
0,archea1.4g_8nodes,248,Univariatn Spline smoothing approximation 1 with degree  1 ,1482.0634864045333,38.497577669309706
1,archea1.4g_8nodes,248,Univariatn Spline smoothing approximation 1 with degree  2 ,1156.096701118212,34.00142204552939
2,archea1.4g_8nodes,248,Univariatn Spline smoothing approximation 1 with degree  3 ,973.0557708700879,31.19384187415984
3,archea1.4g_8nodes,248,Univariatn Spline smoothing approximation 2 with degree  1 ,0.666542285242654,0.8164204096191214
4,archea1.4g_8nodes,248,Univariatn Spline smoothing approximation 2 with degree  2 ,0.6667570509171464,0.8165519278754698
5,archea1.4g_8nodes,248,Univariatn Spline smoothing approximation 2 with degree  3 ,0.6666265565630732,0.8164720182364325
0,archea1.4g_8nodes,248,Generell Spline approximation smoothing s1 with degree  1 ,0.6668177680690806,0.8165891060191046
1,archea1.4g_8nodes,248,Generell Spline approximation smoothing s1 with degree  2 ,0.6667570509171464,0.8165519278754698
2,archea1.4g_8nodes,248,Generell Spline approximation smoothing s1 with degree  3 ,0.666313040117808,0.8162800010522174
3,archea1.4g_8nodes,248,Generell Spline approximation smoothing s2 with degree  1 ,1482.0634864045333,38.497577669309706
4,archea1.4g_8nodes,248,Generell Spline approximation smoothing s2 with degree  2 ,1156.096701118212,34.00142204552939
5,archea1.4g_8nodes,248,Generell Spline approximation smoothing s2 with degree  3 ,973.0557708700879,31.19384187415984
